,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
386,77.3853333791097,4.635564449205852,0.08695729573567708,0.002773690372603983,0.6,0.15,6,280,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 280, 'subsample': 0.6}",0.9241947202712522,0.9193313953488372,0.9295058139534884,0.9243439765245259,0.004155029607397442,216
387,87.74979456265767,4.475317084693456,0.08254392941792806,0.0007315340020115966,0.6,0.15,6,280,0.7,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 280, 'subsample': 0.7}",0.9232259627028336,0.9244186046511628,0.9307170542635659,0.9261205405391874,0.003286492813322248,43
388,65.03680189450581,2.4125550835216476,0.09340755144755046,0.0011303661999667038,0.6,0.15,6,300,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.4}",0.9164446597239041,0.9212693798449613,0.9244186046511628,0.9207108814066761,0.003279216349974878,548
389,75.01814230283101,4.828401496506,0.08007589975992839,0.013631626318442593,0.6,0.15,6,300,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.5}",0.9217728263502059,0.9217538759689923,0.9268410852713178,0.9234559291968386,0.002393679317936361,299
390,84.7978724638621,5.7375902196915405,0.08353781700134277,0.00992470482003629,0.6,0.15,6,300,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.6}",0.9246790990554614,0.9207848837209303,0.9295058139534884,0.9249899322432933,0.0035670827467535276,143
391,87.49119114875793,6.778453637291764,0.07758156458536784,0.013180689382808058,0.6,0.15,6,300,0.7,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.7}",0.9208040687817873,0.9246608527131783,0.9304748062015504,0.9253132425655054,0.00397492137868294,101
392,70.50691024462382,5.61625629136273,0.10072414080301921,0.0016004624718841288,0.6,0.15,6,320,0.4,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 320, 'subsample': 0.4}",0.9178977960765319,0.9219961240310077,0.9263565891472868,0.922083503084942,0.0034538405075859855,442
393,76.12896211942036,12.757229880765138,0.08833432197570801,0.014534441206064237,0.6,0.15,6,320,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 320, 'subsample': 0.5}",0.9224993945265197,0.9222383720930233,0.9251453488372093,0.9232943718189174,0.0013131692247842317,318
394,89.67748459180196,9.009546010769379,0.08831254641215007,0.013251025392289088,0.6,0.15,6,320,0.6,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 320, 'subsample': 0.6}",0.9261322354080891,0.9205426356589147,0.9302325581395349,0.925635809735513,0.003971437880365381,78
395,99.38797227541606,2.9209971572084696,0.09729401270548503,0.0029175397180159655,0.6,0.15,6,320,0.7,"{'colsample_bytree': 0.6, 'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 320, 'subsample': 0.7}",0.9198353112133688,0.9241763565891473,0.9304748062015504,0.9248288246680222,0.004367989571595339,154
